sku,size_code,size,quantity,promotion_code,list_unit_price_ex_gst,discount_ex_gst,unit_price_ex_gst,loaded_landed_cost,product_gross_margin_pct,checkout_route,configuration
FP-104,1L,1 litre,5000,PACK7,11.72,4102.00,10.90,7.08,35.04,payment confirmation,standard
FP-104,1L,1 litre,5000,PACK7,17.57,6149.50,16.34,10.62,35.01,payment confirmation,premium
FP-104,2L,2 litres,5000,PACK7,14.41,5043.50,13.40,8.71,35.01,payment confirmation,standard
FP-104,2L,2 litres,5000,PACK7,21.63,7570.50,20.12,13.07,35.03,payment confirmation,premium
FP-104,250ML,250 ml,10000,PACK7,6.16,4312.00,5.73,3.72,35.06,payment confirmation,standard
FP-104,250ML,250 ml,10000,PACK7,9.24,6468.00,8.59,5.58,35.06,payment confirmation,premium
FP-104,500ML,500 ml,10000,PACK7,7.52,5264.00,6.99,4.54,35.08,payment confirmation,standard
FP-104,500ML,500 ml,10000,PACK7,11.27,7889.00,10.48,6.81,35.03,payment confirmation,premium
FP-104,1L,1 litre,10000,PACK7,9.47,6629.00,8.81,5.72,35.05,payment confirmation,standard
FP-104,1L,1 litre,10000,PACK7,14.20,9940.00,13.21,8.58,35.03,payment confirmation,premium
FP-104,2L,2 litres,10000,PACK7,11.65,8155.00,10.83,7.04,35.02,payment confirmation,standard
FP-104,2L,2 litres,10000,PACK7,17.47,12229.00,16.25,10.56,35.00,payment confirmation,premium
FP-105,5G,5 g / ml,5000,PACK7,1.74,609.00,1.62,1.05,35.11,online checkout,standard
FP-105,5G,5 g / ml,5000,PACK7,2.62,917.00,2.44,1.58,35.16,online checkout,premium
FP-105,10G,10 g / ml,5000,PACK7,2.42,847.00,2.25,1.46,35.13,online checkout,standard
FP-105,10G,10 g / ml,5000,PACK7,3.63,1270.50,3.38,2.19,35.13,online checkout,premium
FP-105,20G,20 g / ml,5000,PACK7,2.90,1015.00,2.70,1.75,35.11,online checkout,standard
FP-105,20G,20 g / ml,5000,PACK7,4.36,1526.00,4.05,2.63,35.14,online checkout,premium
FP-105,50G,50 g / ml,5000,PACK7,3.58,1253.00,3.33,2.16,35.12,online checkout,standard
FP-105,50G,50 g / ml,5000,PACK7,5.36,1876.00,4.98,3.24,35.00,online checkout,premium
FP-105,5G,5 g / ml,10000,PACK7,1.36,952.00,1.26,0.82,35.17,online checkout,standard
